ID,Age_Bin,Years_Since_Last_Promotion_Bin,Monthly_Income_Bin,Training_Hours_Last_Year_Bin,Distance_From_Home_Bin,Years_at_Company_Bin,Years_in_Current_Role_Bin,Project_Count_Bin,Absenteeism_Bin,Average_Hours_Worked_Per_Week_Bin,Hourly_Rate_Bin,Work_Life_Balance_Bin,Relationship_with_Manager_Bin,Job_Involvement_Bin,Job_Satisfaction_Bin,Performance_Rating_Bin,Work_Environment_Satisfaction_Bin,Job_Level_Bin,Number_of_Companies_Worked_Bin,Gender_Bin,Job_Role_Manager_Bin,Job_Role_Assistant_Bin,Department_HR_Bin,Department_Marketing_Bin,Marital_Status_Married_Bin,Attrition
17,18-25,6-10,<=30k,31-60,11-20km,2-5,10+,5-6,3-5,31-45,81-100,Fair,Good,Medium,Very Low,Good,Low,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
18,36-45,6-10,<=30k,31-60,20km+,20+,2-3,7+,3-5,46-60,41-60,Excellent,Poor,High,Low,Good,Very High,Level 5,3-5,Female,Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
19,46-60,6-10,<=30k,31-60,20km+,11-20,0-1,5-6,6-10,31-45,<=40,Excellent,Good,Medium,Moderate,Below Avg,High,Level 5,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
20,46-60,6-10,<=30k,60+,0-5km,6-10,2-3,<=2,0-2,46-60,81-100,Poor,Poor,Medium,Very High,Below Avg,High,Level 5,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
21,18-25,6-10,<=30k,31-60,20km+,11-20,7-10,5-6,11+,46-60,41-60,Excellent,Average,Low,Very Low,Below Avg,Low,Level 3,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
22,36-45,3-5,<=30k,31-60,20km+,20+,10+,<=2,11+,31-45,<=40,Fair,Average,Low,High,Average,Low,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
23,46-60,3-5,<=30k,31-60,20km+,20+,7-10,3-4,6-10,46-60,<=40,Fair,Poor,High,Very Low,Below Avg,Very High,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
24,26-35,1-2,<=30k,60+,6-10km,20+,7-10,7+,6-10,31-45,61-80,Fair,Average,Low,High,Good,Moderate,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
25,36-45,6-10,<=30k,31-60,20km+,20+,7-10,5-6,11+,46-60,61-80,Fair,Good,High,Very Low,Below Avg,Moderate,Level 2,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
26,36-45,3-5,<=30k,31-60,6-10km,20+,4-6,<=2,6-10,31-45,81-100,Excellent,Good,Low,Moderate,Good,Moderate,Level 5,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
27,46-60,1-2,<=30k,60+,20km+,2-5,4-6,3-4,11+,31-45,61-80,Excellent,Poor,Low,Moderate,Below Avg,Very High,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
28,46-60,1-2,<=30k,31-60,6-10km,11-20,10+,<=2,11+,31-45,41-60,Good,Poor,Low,Moderate,Good,Very High,Level 4,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
29,26-35,0,<=30k,31-60,20km+,2-5,7-10,5-6,0-2,46-60,<=40,Good,Average,High,Moderate,Below Avg,Very High,Level 1,1-2,Female,Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
30,26-35,1-2,<=30k,60+,11-20km,2-5,10+,5-6,6-10,31-45,<=40,Poor,Poor,Medium,Moderate,Below Avg,Moderate,Level 5,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
31,18-25,3-5,<=30k,11-30,20km+,6-10,10+,3-4,11+,46-60,<=40,Fair,Good,Low,High,Good,Low,Level 4,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Married,Attrition_Yes
32,46-60,6-10,<=30k,31-60,20km+,20+,4-6,<=2,3-5,31-45,<=40,Poor,Average,High,High,Good,Low,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
33,26-35,1-2,<=30k,60+,20km+,11-20,4-6,<=2,11+,46-60,<=40,Excellent,Poor,Medium,Very High,Average,Very High,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
34,36-45,6-10,<=30k,31-60,11-20km,20+,7-10,<=2,3-5,46-60,41-60,Excellent,Good,Low,Moderate,Average,Low,Level 1,3-5,Female,Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
35,26-35,3-5,<=30k,11-30,20km+,11-20,0-1,3-4,3-5,31-45,41-60,Fair,Good,Low,Low,Below Avg,Low,Level 4,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
36,46-60,1-2,<=30k,0-10,20km+,11-20,4-6,3-4,11+,46-60,61-80,Poor,Poor,Low,High,Average,Very High,Level 4,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
37,36-45,3-5,<=30k,11-30,20km+,20+,7-10,<=2,0-2,31-45,81-100,Excellent,Average,Medium,High,Average,High,Level 2,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
38,18-25,3-5,<=30k,60+,0-5km,20+,10+,7+,6-10,31-45,81-100,Excellent,Poor,High,Very High,Below Avg,Very High,Level 5,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
39,36-45,1-2,<=30k,0-10,6-10km,20+,4-6,7+,0-2,46-60,<=40,Excellent,Poor,High,High,Good,Very High,Level 1,3-5,Female,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
40,26-35,6-10,<=30k,0-10,11-20km,11-20,10+,5-6,6-10,46-60,81-100,Fair,Good,Low,Very Low,Average,Low,Level 3,3-5,Male,Not Manager,Assistant,HR,Not Marketing,Married,Attrition_No
41,26-35,6-10,<=30k,31-60,20km+,11-20,7-10,7+,6-10,46-60,<=40,Good,Average,High,High,Below Avg,Very High,Level 2,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
42,36-45,6-10,<=30k,0-10,20km+,11-20,7-10,<=2,3-5,31-45,81-100,Good,Good,Low,Very Low,Below Avg,Low,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
43,18-25,6-10,<=30k,60+,6-10km,20+,10+,7+,11+,31-45,61-80,Excellent,Poor,Low,Very High,Good,High,Level 1,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
44,36-45,6-10,<=30k,11-30,20km+,2-5,7-10,7+,11+,31-45,<=40,Fair,Poor,Low,Very Low,Below Avg,Moderate,Level 2,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
45,46-60,6-10,<=30k,60+,20km+,6-10,4-6,<=2,6-10,46-60,81-100,Poor,Good,Medium,Low,Below Avg,Moderate,Level 1,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
46,26-35,6-10,<=30k,11-30,11-20km,20+,10+,7+,6-10,31-45,<=40,Excellent,Poor,Medium,High,Below Avg,Low,Level 1,3-5,Female,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_Yes
47,26-35,3-5,<=30k,0-10,20km+,6-10,10+,7+,3-5,31-45,<=40,Fair,Poor,Low,Low,Average,Very High,Level 2,1-2,Female,Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
48,46-60,1-2,<=30k,11-30,20km+,20+,10+,<=2,11+,46-60,81-100,Excellent,Good,Low,Moderate,Below Avg,Very High,Level 2,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
49,26-35,3-5,<=30k,60+,20km+,6-10,4-6,3-4,6-10,31-45,41-60,Excellent,Poor,Low,Very High,Average,Low,Level 5,1-2,Male,Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
50,36-45,6-10,<=30k,60+,0-5km,11-20,10+,5-6,6-10,31-45,<=40,Fair,Poor,Low,Very High,Average,Moderate,Level 2,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
51,46-60,3-5,<=30k,60+,20km+,11-20,7-10,5-6,11+,31-45,<=40,Fair,Poor,Medium,High,Good,High,Level 5,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
52,46-60,1-2,<=30k,60+,20km+,20+,7-10,3-4,11+,46-60,81-100,Excellent,Poor,Low,High,Below Avg,Low,Level 1,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_Yes
53,18-25,1-2,<=30k,60+,20km+,11-20,10+,7+,11+,31-45,61-80,Good,Poor,High,Very High,Below Avg,Moderate,Level 2,3-5,Female,Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
54,18-25,3-5,<=30k,0-10,20km+,20+,2-3,<=2,11+,46-60,<=40,Poor,Average,Low,High,Below Avg,Very High,Level 5,3-5,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_Yes
55,18-25,6-10,<=30k,0-10,20km+,6-10,10+,3-4,11+,46-60,81-100,Good,Poor,High,Very Low,Below Avg,Very High,Level 5,1-2,Female,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_Yes
56,18-25,6-10,<=30k,31-60,0-5km,2-5,7-10,7+,11+,46-60,61-80,Fair,Poor,Low,Very Low,Good,Low,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
57,46-60,0,<=30k,60+,20km+,20+,4-6,3-4,11+,31-45,<=40,Poor,Good,Low,Very Low,Good,Low,Level 5,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
58,36-45,1-2,<=30k,31-60,20km+,11-20,2-3,7+,0-2,31-45,61-80,Poor,Good,Low,Very High,Below Avg,High,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
59,36-45,3-5,<=30k,60+,11-20km,20+,2-3,7+,11+,31-45,81-100,Excellent,Poor,Medium,Very High,Good,Low,Level 3,3-5,Male,Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_Yes
60,46-60,0,<=30k,11-30,6-10km,11-20,0-1,5-6,11+,46-60,61-80,Good,Average,High,Low,Below Avg,High,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
61,26-35,3-5,<=30k,60+,11-20km,11-20,2-3,5-6,11+,46-60,<=40,Fair,Poor,Low,Moderate,Below Avg,High,Level 2,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_No
62,46-60,3-5,<=30k,60+,20km+,2-5,10+,5-6,6-10,46-60,81-100,Fair,Average,High,High,Average,Low,Level 3,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
63,26-35,6-10,<=30k,11-30,20km+,11-20,4-6,7+,0-2,31-45,81-100,Poor,Good,Medium,Very High,Below Avg,High,Level 5,1-2,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
64,46-60,1-2,<=30k,60+,20km+,0-1,0-1,<=2,11+,31-45,41-60,Good,Poor,Low,Low,Below Avg,Low,Level 5,3-5,Female,Not Manager,Assistant,HR,Not Marketing,Married,Attrition_No
65,26-35,6-10,<=30k,11-30,20km+,11-20,7-10,<=2,0-2,31-45,<=40,Good,Average,Medium,Moderate,Good,Very High,Level 2,1-2,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
66,26-35,3-5,<=30k,31-60,20km+,20+,4-6,5-6,3-5,31-45,61-80,Fair,Poor,High,Very Low,Below Avg,High,Level 1,3-5,Female,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
67,26-35,3-5,<=30k,60+,20km+,20+,2-3,7+,0-2,46-60,61-80,Good,Poor,Low,High,Below Avg,Very High,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
68,36-45,3-5,<=30k,60+,6-10km,6-10,7-10,5-6,11+,46-60,81-100,Poor,Good,Medium,Very High,Below Avg,Moderate,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
69,46-60,3-5,<=30k,31-60,11-20km,20+,2-3,3-4,11+,31-45,<=40,Fair,Average,Low,Low,Below Avg,High,Level 2,1-2,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
70,36-45,6-10,<=30k,60+,20km+,11-20,0-1,5-6,6-10,31-45,41-60,Excellent,Good,Low,Very Low,Below Avg,Very High,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
71,26-35,6-10,<=30k,31-60,11-20km,20+,7-10,3-4,0-2,46-60,61-80,Excellent,Good,Low,Moderate,Good,Moderate,Level 3,3-5,Male,Manager,Not Assistant,Not HR,Marketing,Married,Attrition_Yes
72,36-45,6-10,<=30k,31-60,11-20km,20+,7-10,<=2,3-5,46-60,61-80,Poor,Poor,High,Low,Below Avg,High,Level 5,1-2,Female,Not Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
73,36-45,0,<=30k,31-60,20km+,2-5,2-3,3-4,0-2,<=30,<=40,Good,Good,High,Moderate,Below Avg,Very High,Level 5,1-2,Male,Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
74,36-45,6-10,<=30k,11-30,6-10km,20+,2-3,3-4,11+,46-60,81-100,Fair,Average,Medium,Very High,Good,Very High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
75,36-45,3-5,<=30k,31-60,20km+,11-20,7-10,<=2,3-5,46-60,81-100,Poor,Poor,Medium,Low,Good,Very High,Level 3,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
76,46-60,6-10,<=30k,31-60,11-20km,2-5,7-10,5-6,11+,31-45,<=40,Fair,Poor,Low,High,Below Avg,Very High,Level 2,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
77,26-35,6-10,<=30k,11-30,20km+,0-1,10+,5-6,0-2,31-45,61-80,Fair,Average,Medium,Very Low,Below Avg,Moderate,Level 3,3-5,Female,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
78,18-25,6-10,<=30k,0-10,20km+,6-10,10+,<=2,6-10,31-45,41-60,Poor,Poor,Low,Low,Good,Moderate,Level 1,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_Yes
79,36-45,1-2,<=30k,11-30,20km+,11-20,7-10,<=2,6-10,46-60,61-80,Excellent,Poor,Low,Very High,Below Avg,Low,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
80,26-35,6-10,<=30k,31-60,20km+,20+,2-3,5-6,6-10,31-45,81-100,Fair,Poor,Low,Very High,Below Avg,Very High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
81,26-35,6-10,<=30k,0-10,20km+,20+,7-10,3-4,11+,46-60,41-60,Fair,Average,Medium,Moderate,Below Avg,High,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
82,36-45,1-2,<=30k,31-60,20km+,2-5,10+,7+,6-10,46-60,81-100,Fair,Good,High,Moderate,Below Avg,Very High,Level 2,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
83,18-25,1-2,<=30k,0-10,20km+,2-5,10+,<=2,11+,31-45,41-60,Poor,Average,High,High,Average,Low,Level 5,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_Yes
84,26-35,3-5,<=30k,60+,20km+,11-20,7-10,7+,3-5,46-60,61-80,Poor,Poor,High,Very High,Good,Very High,Level 2,3-5,Female,Not Manager,Not Assistant,Not HR,Marketing,Not Married,Attrition_No
85,36-45,1-2,<=30k,11-30,20km+,20+,10+,3-4,6-10,31-45,<=40,Excellent,Average,Medium,Very High,Good,Moderate,Level 2,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
86,26-35,3-5,<=30k,60+,6-10km,20+,4-6,5-6,11+,46-60,81-100,Fair,Good,Medium,Very High,Good,Low,Level 1,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
87,36-45,6-10,<=30k,31-60,0-5km,11-20,10+,<=2,11+,31-45,81-100,Poor,Poor,Low,Very Low,Average,High,Level 2,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
88,26-35,1-2,<=30k,31-60,11-20km,2-5,7-10,<=2,11+,31-45,81-100,Fair,Poor,Low,Very Low,Good,Very High,Level 3,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
89,46-60,1-2,<=30k,60+,11-20km,20+,10+,<=2,6-10,46-60,81-100,Excellent,Average,High,Very High,Average,Moderate,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Marketing,Married,Attrition_No
90,46-60,6-10,<=30k,11-30,20km+,11-20,4-6,5-6,11+,31-45,41-60,Good,Poor,Low,Very Low,Below Avg,Low,Level 4,1-2,Female,Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_Yes
91,46-60,6-10,<=30k,31-60,20km+,2-5,10+,<=2,6-10,31-45,<=40,Good,Average,Low,Very High,Below Avg,High,Level 5,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
92,18-25,6-10,<=30k,31-60,20km+,20+,2-3,7+,11+,31-45,81-100,Good,Poor,High,Moderate,Below Avg,Moderate,Level 4,1-2,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_Yes
93,46-60,1-2,<=30k,31-60,20km+,2-5,2-3,7+,3-5,46-60,41-60,Excellent,Poor,High,Moderate,Good,Moderate,Level 1,3-5,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
94,46-60,3-5,<=30k,0-10,20km+,2-5,4-6,5-6,0-2,<=30,61-80,Poor,Average,Low,Very Low,Good,Moderate,Level 2,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
95,26-35,3-5,<=30k,0-10,20km+,20+,4-6,7+,0-2,46-60,41-60,Fair,Poor,Medium,Moderate,Good,High,Level 4,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
96,26-35,6-10,<=30k,60+,6-10km,11-20,4-6,7+,0-2,<=30,<=40,Poor,Good,Low,Moderate,Average,Moderate,Level 2,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
97,26-35,6-10,<=30k,60+,20km+,11-20,7-10,3-4,11+,31-45,<=40,Good,Poor,Medium,High,Below Avg,Very High,Level 4,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
98,26-35,6-10,<=30k,31-60,20km+,11-20,10+,7+,6-10,31-45,41-60,Good,Good,Medium,High,Below Avg,High,Level 2,3-5,Female,Not Manager,Assistant,Not HR,Marketing,Not Married,Attrition_No
99,46-60,0,<=30k,31-60,6-10km,20+,7-10,7+,11+,46-60,61-80,Fair,Average,Medium,Very High,Below Avg,High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
100,46-60,6-10,<=30k,0-10,11-20km,20+,10+,5-6,3-5,31-45,81-100,Fair,Poor,Low,Low,Below Avg,High,Level 3,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
101,36-45,6-10,<=30k,31-60,20km+,6-10,7-10,7+,11+,46-60,81-100,Excellent,Poor,Low,Low,Good,Very High,Level 1,1-2,Female,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_Yes
102,36-45,3-5,<=30k,60+,0-5km,6-10,7-10,3-4,6-10,46-60,41-60,Fair,Poor,Low,High,Good,Very High,Level 4,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
103,46-60,3-5,<=30k,31-60,20km+,11-20,10+,<=2,3-5,31-45,81-100,Poor,Poor,Low,Very High,Below Avg,High,Level 3,3-5,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
104,46-60,6-10,<=30k,60+,20km+,11-20,7-10,3-4,6-10,31-45,61-80,Poor,Good,High,High,Below Avg,Low,Level 5,1-2,Male,Not Manager,Assistant,HR,Not Marketing,Not Married,Attrition_No
105,46-60,3-5,<=30k,60+,20km+,11-20,7-10,7+,11+,31-45,61-80,Fair,Poor,Low,Moderate,Below Avg,Low,Level 4,3-5,Male,Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
106,36-45,1-2,<=30k,0-10,11-20km,20+,4-6,3-4,0-2,31-45,41-60,Poor,Poor,Low,Very High,Below Avg,High,Level 2,3-5,Female,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
107,46-60,6-10,<=30k,60+,20km+,11-20,7-10,5-6,11+,31-45,41-60,Poor,Good,High,Very High,Good,Very High,Level 1,1-2,Male,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
108,46-60,1-2,<=30k,31-60,20km+,6-10,4-6,5-6,11+,31-45,61-80,Good,Good,High,Low,Below Avg,Moderate,Level 3,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
109,18-25,0,<=30k,11-30,20km+,20+,4-6,5-6,6-10,46-60,81-100,Good,Average,Medium,Low,Good,Low,Level 3,1-2,Male,Not Manager,Assistant,Not HR,Not Marketing,Not Married,Attrition_Yes
110,46-60,1-2,<=30k,60+,20km+,6-10,2-3,<=2,11+,46-60,41-60,Fair,Average,Medium,Low,Below Avg,Low,Level 1,1-2,Male,Not Manager,Not Assistant,HR,Not Marketing,Not Married,Attrition_No
111,46-60,0,<=30k,11-30,20km+,20+,4-6,<=2,0-2,46-60,61-80,Fair,Poor,Low,Very Low,Below Avg,Very High,Level 4,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
112,26-35,6-10,<=30k,11-30,20km+,11-20,10+,7+,11+,46-60,61-80,Fair,Poor,Low,Moderate,Average,Very High,Level 2,3-5,Male,Not Manager,Assistant,Not HR,Not Marketing,Married,Attrition_No
113,18-25,6-10,<=30k,60+,6-10km,11-20,7-10,3-4,6-10,46-60,81-100,Good,Average,Medium,Moderate,Average,High,Level 5,3-5,Male,Manager,Not Assistant,HR,Not Marketing,Married,Attrition_No
114,18-25,3-5,<=30k,31-60,20km+,11-20,0-1,<=2,11+,31-45,<=40,Poor,Good,Low,Moderate,Good,Low,Level 4,3-5,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Married,Attrition_No
115,18-25,6-10,<=30k,31-60,20km+,20+,2-3,5-6,11+,46-60,41-60,Excellent,Poor,Low,Moderate,Good,Moderate,Level 1,1-2,Female,Not Manager,Not Assistant,Not HR,Not Marketing,Not Married,Attrition_No
